name;url;category
AFW Holding;https://patentscope.wipo.int/search/de/ec26a73f-6c9a-4cb1-bcef-8d3986a3acd5/rss.xml;WIPO
BENZ;https://patentscope.wipo.int/search/de/7c569379-8720-4adb-a6f8-675d92b82b15/rss.xml;WIPO
CHIRON GROUP;https://patentscope.wipo.int/search/de/8bf096bc-cee7-4e8d-af1d-cb3521ea2a85/rss.xml;WIPO
CORREA;https://patentscope.wipo.int/search/de/c7f75523-161b-4c0c-ae7e-219641ee3b9e/rss.xml;WIPO
Deckel Maho;https://patentscope.wipo.int/search/de/95ecac90-c270-4594-af6a-4f67fc5e56fe/rss.xml;WIPO
DMG Mori;https://patentscope.wipo.int/search/de/fc3ea948-ecf3-4254-9472-059b1122b3b6/rss.xml;WIPO
DMT;https://patentscope.wipo.int/search/de/09f6ae5b-3d6b-41ed-ac14-81b5bd867993/rss.xml;WIPO
DOOSAN;https://patentscope.wipo.int/search/de/11fda293-1f64-439e-8784-3679f1c3fdaf/rss.xml;WIPO
EMAG;https://patentscope.wipo.int/search/de/688808fe-cbfa-4721-abd7-aa57b7a7adb6/rss.xml;WIPO
EMCO;https://patentscope.wipo.int/search/de/a1e56d5c-ca0f-44a6-b6ec-1427a6ee79b2/rss.xml;WIPO
ETXE-TAR;https://patentscope.wipo.int/search/de/a7a03be4-50b2-4542-b24d-b06c2b5ef369/rss.xml;WIPO
FANUC;https://patentscope.wipo.int/search/de/d4d52e8c-8a3a-44d7-9f69-0cad65f3170d/rss.xml;WIPO
FFG Werke;https://patentscope.wipo.int/search/de/3610eb2c-876e-4c9a-af71-48859f3f39cf/rss.xml;WIPO
FILL GmbH;https://patentscope.wipo.int/search/de/9e203d0d-f70a-4942-aec5-c9d930bb2f15/rss.xml;WIPO
FUNDACION TEKNIKER;https://patentscope.wipo.int/search/de/b7ea40b3-b4cd-45ea-965c-5a04528dd33d/rss.xml;WIPO
Gebr. HELLER;https://patentscope.wipo.int/search/de/e3f1f9f9-71fd-4112-b742-ea86ce0ffd29/rss.xml;WIPO
GEMINIS;https://patentscope.wipo.int/search/de/74514dd5-bcdf-4d2e-91e5-7810e426300a/rss.xml;WIPO
GF;https://patentscope.wipo.int/search/de/ef284d70-55fc-4850-ab0c-9d9ac1a0ab70/rss.xml;WIPO
Gildemeister;https://patentscope.wipo.int/search/de/910c379c-ef09-4915-b52b-bbe4eaee8e22/rss.xml;WIPO
GROB Werke;https://patentscope.wipo.int/search/de/fb24fb3c-405f-4908-9e6d-48d401c48ed1/rss.xml;WIPO
