Suchbegriff,Portal,Link,Prüfdatum,Fingerabdruck
millturn,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=millturn&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
millturn,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""millturn"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
millturn,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=millturn&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
WFL,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=WFL&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
WFL,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""WFL"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
WFL,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=WFL&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
greenside,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=greenside&sortColumn=applicationDate&desc=true,2026-02-13 03:12,f0bf0fa066adec8a9188befb607f64c7
greenside,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""greenside"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,f0bf0fa066adec8a9188befb607f64c7
greenside,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=greenside&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,f0bf0fa066adec8a9188befb607f64c7
crash guard,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=crash%20guard&sortColumn=applicationDate&desc=true,2026-02-13 03:12,7082b2ea86e7400500cd10e2d54d12d7
crash guard,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""crash%20guard"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,7082b2ea86e7400500cd10e2d54d12d7
crash guard,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=crash%20guard&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,7082b2ea86e7400500cd10e2d54d12d7
flanx,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=flanx&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
flanx,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""flanx"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
flanx,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=flanx&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
cranx,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=cranx&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
cranx,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""cranx"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
cranx,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=cranx&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
icontrol,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=icontrol&sortColumn=applicationDate&desc=true,2026-02-13 03:12,0ee8d9a5f30408bd3c94b87f327a03ad
